class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,false
barrierRate,0.5
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
245            ,16283          ,426            ,2708           ,592273         ,5904           ,0.1573    ,0.7999    
246            ,16271          ,391            ,2505           ,592521         ,5906           ,0.1561    ,0.7997    
247            ,16248          ,372            ,2300           ,592767         ,5907           ,0.1617    ,0.7998    
248            ,16236          ,342            ,2125           ,592982         ,5909           ,0.1609    ,0.7998    
249            ,16222          ,309            ,1963           ,593189         ,5911           ,0.1574    ,0.7997    
250            ,16217          ,279            ,1775           ,593410         ,5913           ,0.1572    ,0.7999    
251            ,16211          ,255            ,1642           ,593571         ,5915           ,0.1553    ,0.7997    
252            ,16203          ,235            ,1501           ,593738         ,5917           ,0.1566    ,0.7995    
253            ,16191          ,224            ,1370           ,593889         ,5920           ,0.1635    ,0.7999    
254            ,16187          ,192            ,1272           ,594021         ,5922           ,0.1509    ,0.7999    
255            ,16179          ,177            ,1176           ,594139         ,5923           ,0.1505    ,0.7997    
256            ,16175          ,159            ,1091           ,594245         ,5924           ,0.1457    ,0.8000    
257            ,16171          ,142            ,995            ,594362         ,5924           ,0.1427    ,0.7995    
258            ,16168          ,130            ,904            ,594468         ,5924           ,0.1438    ,0.7998    
259            ,16162          ,121            ,824            ,594563         ,5924           ,0.1468    ,0.8000    
260            ,16160          ,111            ,761            ,594638         ,5924           ,0.1459    ,0.7993    
261            ,16154          ,94             ,722            ,594700         ,5924           ,0.1302    ,0.7990    
262            ,16153          ,83             ,661            ,594773         ,5924           ,0.1256    ,0.7997    
263            ,16147          ,75             ,605            ,594843         ,5924           ,0.1240    ,0.8000    
264            ,16143          ,74             ,561            ,594892         ,5924           ,0.1319    ,0.8000    
265            ,16142          ,69             ,498            ,594961         ,5924           ,0.1386    ,0.7989    
266            ,16138          ,65             ,459            ,595007         ,5925           ,0.1416    ,0.7996    
267            ,16136          ,55             ,429            ,595049         ,5925           ,0.1282    ,0.7996    
268            ,16134          ,53             ,391            ,595089         ,5927           ,0.1355    ,0.7995    
269            ,16130          ,49             ,352            ,595136         ,5927           ,0.1392    ,0.7980    
270            ,16128          ,47             ,321            ,595171         ,5927           ,0.1464    ,0.7989    
271            ,16126          ,45             ,295            ,595200         ,5928           ,0.1525    ,0.8000    
272            ,16125          ,43             ,270            ,595228         ,5928           ,0.1593    ,0.7987    
273            ,16122          ,40             ,253            ,595251         ,5928           ,0.1581    ,0.7986    
274            ,16122          ,38             ,219            ,595287         ,5928           ,0.1735    ,0.7977    
275            ,16122          ,32             ,202            ,595309         ,5929           ,0.1584    ,0.7991    
276            ,16121          ,32             ,181            ,595331         ,5929           ,0.1768    ,0.7981    
277            ,16118          ,29             ,166            ,595352         ,5929           ,0.1747    ,0.8000    
278            ,16118          ,25             ,155            ,595367         ,5929           ,0.1613    ,0.8000    
279            ,16118          ,24             ,141            ,595382         ,5929           ,0.1702    ,0.8000    
280            ,16118          ,20             ,133            ,595394         ,5929           ,0.1504    ,0.7974    
281            ,16116          ,20             ,112            ,595417         ,5929           ,0.1786    ,0.7955    
282            ,16113          ,21             ,102            ,595429         ,5929           ,0.2059    ,0.7967    
283            ,16113          ,17             ,92             ,595443         ,5929           ,0.1848    ,0.7982    
284            ,16112          ,16             ,89             ,595448         ,5929           ,0.1798    ,0.8000    
285            ,16112          ,14             ,85             ,595453         ,5930           ,0.1647    ,0.7980    
286            ,16112          ,13             ,78             ,595461         ,5930           ,0.1667    ,0.7912    
287            ,16112          ,10             ,69             ,595473         ,5930           ,0.1449    ,0.7975    
288            ,16111          ,11             ,65             ,595477         ,5930           ,0.1692    ,0.7895    
289            ,16111          ,11             ,57             ,595484         ,5931           ,0.1930    ,0.7941    
290            ,16108          ,13             ,54             ,595488         ,5931           ,0.2407    ,0.7910    
