class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,1.0
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
329            ,13109          ,0              ,5              ,598372         ,6108           ,0.0000    ,0.8000    
330            ,13109          ,0              ,3              ,598374         ,6108           ,0.0000    ,0.6667    
331            ,13109          ,0              ,3              ,598374         ,6108           ,0.0000    ,0.6667    
332            ,13109          ,0              ,2              ,598375         ,6108           ,0.0000    ,0.5000    
333            ,13109          ,0              ,1              ,598376         ,6108           ,0.0000    ,0.0000    
334            ,13109          ,0              ,1              ,598376         ,6108           ,0.0000    ,0.0000    
335            ,13109          ,0              ,1              ,598376         ,6108           ,0.0000    ,0.0000    
336            ,13109          ,0              ,1              ,598376         ,6108           ,0.0000    ,0.0000    
337            ,13109          ,0              ,1              ,598376         ,6108           ,0.0000    ,0.0000    
338            ,13109          ,0              ,0              ,598377         ,6108           ,0.0000    ,0.0000    
