class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,0.1
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
540            ,25100          ,9              ,17             ,586737         ,5731           ,0.5294    ,0.7692    
541            ,25100          ,9              ,15             ,586739         ,5731           ,0.6000    ,0.7917    
542            ,25100          ,9              ,13             ,586741         ,5731           ,0.6923    ,0.7727    
543            ,25100          ,9              ,12             ,586742         ,5731           ,0.7500    ,0.7619    
544            ,25100          ,9              ,10             ,586744         ,5731           ,0.9000    ,0.7895    
545            ,25099          ,10             ,9              ,586745         ,5731           ,1.1111    ,0.7895    
546            ,25099          ,10             ,8              ,586746         ,5731           ,1.2500    ,0.7778    
547            ,25099          ,8              ,10             ,586746         ,5731           ,0.8000    ,0.7778    
548            ,25099          ,8              ,10             ,586746         ,5731           ,0.8000    ,0.7778    
549            ,25099          ,8              ,9              ,586747         ,5731           ,0.8889    ,0.7647    
550            ,25099          ,5              ,11             ,586748         ,5731           ,0.4545    ,0.7500    
551            ,25099          ,4              ,11             ,586749         ,5731           ,0.3636    ,0.8000    
552            ,25098          ,3              ,12             ,586750         ,5731           ,0.2500    ,0.8000    
553            ,25098          ,3              ,12             ,586750         ,5731           ,0.2500    ,0.8000    
554            ,25098          ,2              ,13             ,586750         ,5731           ,0.1538    ,0.8000    
555            ,25098          ,2              ,12             ,586751         ,5731           ,0.1667    ,0.7857    
556            ,25098          ,2              ,11             ,586752         ,5731           ,0.1818    ,0.7692    
557            ,25097          ,3              ,10             ,586753         ,5731           ,0.3000    ,0.7692    
558            ,25097          ,3              ,10             ,586753         ,5731           ,0.3000    ,0.7692    
559            ,25097          ,2              ,11             ,586753         ,5731           ,0.1818    ,0.7692    
560            ,25097          ,2              ,10             ,586754         ,5731           ,0.2000    ,0.7500    
561            ,25097          ,2              ,10             ,586754         ,5731           ,0.2000    ,0.7500    
562            ,25097          ,2              ,10             ,586754         ,5731           ,0.2000    ,0.7500    
563            ,25097          ,2              ,10             ,586754         ,5731           ,0.2000    ,0.7500    
564            ,25095          ,4              ,10             ,586754         ,5731           ,0.4000    ,0.7857    
565            ,25095          ,4              ,10             ,586754         ,5731           ,0.4000    ,0.7857    
566            ,25095          ,3              ,11             ,586754         ,5731           ,0.2727    ,0.7857    
567            ,25094          ,4              ,9              ,586756         ,5731           ,0.4444    ,0.7692    
568            ,25094          ,4              ,9              ,586756         ,5731           ,0.4444    ,0.7692    
569            ,25094          ,4              ,9              ,586756         ,5731           ,0.4444    ,0.7692    
570            ,25094          ,4              ,6              ,586759         ,5731           ,0.6667    ,0.8000    
571            ,25094          ,3              ,6              ,586760         ,5731           ,0.5000    ,0.7778    
572            ,25094          ,3              ,4              ,586762         ,5731           ,0.7500    ,0.7143    
573            ,25094          ,3              ,4              ,586762         ,5731           ,0.7500    ,0.7143    
574            ,25094          ,3              ,3              ,586763         ,5731           ,1.0000    ,0.6667    
575            ,25094          ,3              ,3              ,586763         ,5731           ,1.0000    ,0.6667    
576            ,25094          ,3              ,3              ,586763         ,5731           ,1.0000    ,0.6667    
577            ,25094          ,3              ,3              ,586763         ,5731           ,1.0000    ,0.6667    
578            ,25094          ,1              ,5              ,586763         ,5731           ,0.2000    ,0.6667    
579            ,25094          ,1              ,4              ,586764         ,5731           ,0.2500    ,0.8000    
580            ,25093          ,2              ,4              ,586764         ,5731           ,0.5000    ,0.6667    
581            ,25093          ,1              ,5              ,586764         ,5731           ,0.2000    ,0.6667    
582            ,25093          ,1              ,5              ,586764         ,5731           ,0.2000    ,0.6667    
583            ,25092          ,2              ,5              ,586764         ,5731           ,0.4000    ,0.7143    
584            ,25092          ,2              ,5              ,586764         ,5731           ,0.4000    ,0.7143    
585            ,25092          ,2              ,5              ,586764         ,5731           ,0.4000    ,0.7143    
586            ,25092          ,2              ,4              ,586765         ,5731           ,0.5000    ,0.6667    
587            ,25092          ,2              ,4              ,586765         ,5731           ,0.5000    ,0.6667    
588            ,25092          ,2              ,4              ,586765         ,5731           ,0.5000    ,0.6667    
589            ,25092          ,2              ,4              ,586765         ,5731           ,0.5000    ,0.6667    
590            ,25092          ,2              ,4              ,586765         ,5731           ,0.5000    ,0.6667    
591            ,25092          ,2              ,3              ,586766         ,5731           ,0.6667    ,0.8000    
592            ,25092          ,2              ,3              ,586766         ,5731           ,0.6667    ,0.8000    
593            ,25092          ,2              ,3              ,586766         ,5731           ,0.6667    ,0.8000    
594            ,25092          ,1              ,4              ,586766         ,5731           ,0.2500    ,0.8000    
595            ,25092          ,1              ,4              ,586766         ,5731           ,0.2500    ,0.8000    
596            ,25092          ,1              ,4              ,586766         ,5731           ,0.2500    ,0.8000    
597            ,25092          ,0              ,5              ,586766         ,5731           ,0.0000    ,0.8000    
598            ,25091          ,1              ,3              ,586768         ,5731           ,0.3333    ,0.7500    
599            ,25091          ,1              ,3              ,586768         ,5731           ,0.3333    ,0.7500    
600            ,25090          ,2              ,3              ,586768         ,5731           ,0.6667    ,0.8000    
601            ,25090          ,2              ,2              ,586769         ,5731           ,1.0000    ,0.7500    
602            ,25090          ,2              ,2              ,586769         ,5731           ,1.0000    ,0.7500    
603            ,25090          ,2              ,2              ,586769         ,5731           ,1.0000    ,0.7500    
604            ,25090          ,2              ,2              ,586769         ,5731           ,1.0000    ,0.7500    
605            ,25090          ,2              ,2              ,586769         ,5731           ,1.0000    ,0.7500    
606            ,25090          ,2              ,2              ,586769         ,5731           ,1.0000    ,0.7500    
607            ,25090          ,2              ,2              ,586769         ,5731           ,1.0000    ,0.7500    
608            ,25090          ,2              ,2              ,586769         ,5731           ,1.0000    ,0.7500    
609            ,25090          ,2              ,2              ,586769         ,5731           ,1.0000    ,0.7500    
610            ,25090          ,2              ,2              ,586769         ,5731           ,1.0000    ,0.7500    
611            ,25090          ,2              ,2              ,586769         ,5731           ,1.0000    ,0.7500    
612            ,25090          ,1              ,3              ,586769         ,5731           ,0.3333    ,0.7500    
613            ,25090          ,1              ,3              ,586769         ,5731           ,0.3333    ,0.7500    
614            ,25090          ,0              ,3              ,586770         ,5731           ,0.0000    ,0.6667    
615            ,25090          ,0              ,3              ,586770         ,5731           ,0.0000    ,0.6667    
616            ,25090          ,0              ,3              ,586770         ,5731           ,0.0000    ,0.6667    
617            ,25090          ,0              ,2              ,586771         ,5731           ,0.0000    ,0.5000    
