class edu.neu.info6205.model.Virus
name,SARS
R,0.0
superSpreaderRate,0.01
infectiousRadius,100.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,0.5
maskUseRate,0.5
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
409            ,124227         ,3761           ,9483           ,475296         ,4827           ,0.3966    ,0.8000    
410            ,124027         ,3622           ,9200           ,475913         ,4832           ,0.3937    ,0.8000    
411            ,123850         ,3452           ,8945           ,476511         ,4836           ,0.3859    ,0.8000    
412            ,123652         ,3372           ,8594           ,477135         ,4841           ,0.3924    ,0.7999    
413            ,123474         ,3252           ,8323           ,477695         ,4850           ,0.3907    ,0.8000    
414            ,123315         ,3149           ,8040           ,478232         ,4858           ,0.3917    ,0.8000    
415            ,123155         ,3019           ,7813           ,478745         ,4862           ,0.3864    ,0.7999    
416            ,122999         ,2929           ,7549           ,479253         ,4864           ,0.3880    ,0.8000    
417            ,122849         ,2819           ,7252           ,479803         ,4871           ,0.3887    ,0.7999    
418            ,122697         ,2729           ,7012           ,480281         ,4875           ,0.3892    ,0.7999    
419            ,122567         ,2577           ,6803           ,480767         ,4880           ,0.3788    ,0.8000    
420            ,122430         ,2484           ,6550           ,481245         ,4885           ,0.3792    ,0.8000    
421            ,122303         ,2372           ,6381           ,481646         ,4892           ,0.3717    ,0.8000    
422            ,122158         ,2279           ,6183           ,482077         ,4897           ,0.3686    ,0.7999    
423            ,122036         ,2191           ,5932           ,482538         ,4897           ,0.3694    ,0.8000    
424            ,121920         ,2107           ,5770           ,482896         ,4901           ,0.3652    ,0.7999    
425            ,121806         ,2044           ,5573           ,483266         ,4905           ,0.3668    ,0.7999    
426            ,121689         ,1963           ,5417           ,483617         ,4908           ,0.3624    ,0.8000    
427            ,121583         ,1891           ,5212           ,483997         ,4911           ,0.3628    ,0.7999    
428            ,121467         ,1848           ,5014           ,484352         ,4913           ,0.3686    ,0.7999    
429            ,121382         ,1773           ,4833           ,484689         ,4917           ,0.3669    ,0.7999    
430            ,121259         ,1740           ,4650           ,485026         ,4919           ,0.3742    ,0.8000    
431            ,121179         ,1670           ,4453           ,485365         ,4927           ,0.3750    ,0.7999    
432            ,121077         ,1620           ,4327           ,485641         ,4929           ,0.3744    ,0.7999    
433            ,120973         ,1594           ,4159           ,485936         ,4932           ,0.3833    ,0.7999    
434            ,120898         ,1532           ,4034           ,486197         ,4933           ,0.3798    ,0.7999    
435            ,120822         ,1481           ,3871           ,486484         ,4936           ,0.3826    ,0.7999    
436            ,120751         ,1407           ,3770           ,486728         ,4938           ,0.3732    ,0.7999    
437            ,120681         ,1355           ,3632           ,486987         ,4939           ,0.3731    ,0.7999    
438            ,120606         ,1314           ,3506           ,487225         ,4943           ,0.3748    ,0.8000    
439            ,120517         ,1289           ,3338           ,487504         ,4946           ,0.3862    ,0.7999    
440            ,120436         ,1253           ,3225           ,487733         ,4947           ,0.3885    ,0.7999    
441            ,120378         ,1205           ,3092           ,487970         ,4949           ,0.3897    ,0.7999    
442            ,120314         ,1153           ,2970           ,488208         ,4949           ,0.3882    ,0.7999    
443            ,120246         ,1136           ,2845           ,488417         ,4950           ,0.3993    ,0.7998    
444            ,120195         ,1064           ,2768           ,488612         ,4955           ,0.3844    ,0.7998    
445            ,120134         ,1045           ,2671           ,488786         ,4958           ,0.3912    ,0.7998    
446            ,120083         ,994            ,2575           ,488980         ,4962           ,0.3860    ,0.7999    
447            ,120018         ,955            ,2501           ,489156         ,4964           ,0.3818    ,0.7998    
448            ,119979         ,919            ,2417           ,489313         ,4966           ,0.3802    ,0.7998    
449            ,119919         ,903            ,2333           ,489473         ,4966           ,0.3871    ,0.7998    
450            ,119875         ,876            ,2248           ,489629         ,4966           ,0.3897    ,0.7999    
451            ,119838         ,843            ,2168           ,489778         ,4967           ,0.3888    ,0.7997    
452            ,119787         ,819            ,2091           ,489929         ,4968           ,0.3917    ,0.8000    
453            ,119744         ,773            ,2050           ,490059         ,4968           ,0.3771    ,0.7999    
454            ,119710         ,726            ,1994           ,490196         ,4968           ,0.3641    ,0.8000    
455            ,119669         ,709            ,1925           ,490323         ,4968           ,0.3683    ,0.7999    
456            ,119628         ,686            ,1844           ,490467         ,4969           ,0.3720    ,0.8000    
457            ,119583         ,663            ,1790           ,490589         ,4969           ,0.3704    ,0.7998    
458            ,119547         ,648            ,1725           ,490705         ,4969           ,0.3757    ,0.7998    
459            ,119511         ,623            ,1672           ,490819         ,4969           ,0.3726    ,0.8000    
460            ,119480         ,603            ,1606           ,490935         ,4970           ,0.3755    ,0.7999    
461            ,119448         ,570            ,1565           ,491040         ,4971           ,0.3642    ,0.8000    
462            ,119414         ,565            ,1488           ,491156         ,4971           ,0.3797    ,0.7998    
463            ,119391         ,528            ,1463           ,491239         ,4973           ,0.3609    ,0.7996    
464            ,119364         ,511            ,1384           ,491361         ,4974           ,0.3692    ,0.8000    
465            ,119339         ,499            ,1341           ,491440         ,4975           ,0.3721    ,0.8000    
466            ,119316         ,471            ,1290           ,491541         ,4976           ,0.3651    ,0.7995    
467            ,119289         ,455            ,1229           ,491642         ,4979           ,0.3702    ,0.7999    
468            ,119271         ,439            ,1188           ,491717         ,4979           ,0.3695    ,0.7996    
469            ,119252         ,417            ,1153           ,491793         ,4979           ,0.3617    ,0.8000    
470            ,119225         ,403            ,1123           ,491863         ,4980           ,0.3589    ,0.7995    
471            ,119201         ,382            ,1098           ,491933         ,4980           ,0.3479    ,0.8000    
472            ,119173         ,374            ,1059           ,492006         ,4982           ,0.3532    ,0.7997    
473            ,119161         ,350            ,1006           ,492094         ,4983           ,0.3479    ,0.7994    
474            ,119142         ,338            ,956            ,492174         ,4984           ,0.3536    ,0.7998    
475            ,119126         ,322            ,930            ,492231         ,4985           ,0.3462    ,0.7995    
476            ,119106         ,308            ,900            ,492294         ,4986           ,0.3422    ,0.7997    
477            ,119088         ,303            ,855            ,492362         ,4986           ,0.3544    ,0.7997    
478            ,119072         ,292            ,831            ,492413         ,4986           ,0.3514    ,0.7996    
479            ,119055         ,284            ,795            ,492473         ,4987           ,0.3572    ,0.7998    
480            ,119038         ,278            ,767            ,492524         ,4987           ,0.3625    ,0.8000    
481            ,119017         ,272            ,729            ,492588         ,4988           ,0.3731    ,0.7992    
482            ,119001         ,270            ,708            ,492627         ,4988           ,0.3814    ,0.7996    
483            ,118988         ,264            ,667            ,492687         ,4988           ,0.3958    ,0.7991    
484            ,118978         ,247            ,650            ,492731         ,4988           ,0.3800    ,0.7993    
485            ,118968         ,233            ,637            ,492768         ,4988           ,0.3658    ,0.8000    
