class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,0.5
maskUseRate,0.0
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
1              ,617580         ,4              ,10             ,0              ,0              ,0.4000    ,0.2143    
2              ,617572         ,12             ,10             ,0              ,0              ,1.2000    ,0.3636    
3              ,617566         ,18             ,10             ,0              ,0              ,1.8000    ,0.3214    
4              ,617560         ,24             ,10             ,0              ,0              ,2.4000    ,0.2941    
5              ,617557         ,27             ,10             ,0              ,0              ,2.7000    ,0.2703    
6              ,617554         ,30             ,10             ,0              ,0              ,3.0000    ,0.2500    
7              ,617551         ,33             ,10             ,0              ,0              ,3.3000    ,0.2326    
8              ,617544         ,40             ,10             ,0              ,0              ,4.0000    ,0.2000    
9              ,617538         ,46             ,10             ,0              ,0              ,4.6000    ,0.1786    
10             ,617535         ,49             ,10             ,0              ,0              ,4.9000    ,0.1695    
11             ,617531         ,53             ,10             ,0              ,0              ,5.3000    ,0.1587    
12             ,617527         ,57             ,10             ,0              ,0              ,5.7000    ,0.1493    
13             ,617523         ,61             ,10             ,0              ,0              ,6.1000    ,0.1408    
14             ,617519         ,65             ,10             ,0              ,0              ,6.5000    ,0.1333    
15             ,617515         ,65             ,14             ,0              ,0              ,4.6429    ,0.1266    
16             ,617507         ,65             ,22             ,0              ,0              ,2.9545    ,0.1264    
17             ,617498         ,68             ,28             ,0              ,0              ,2.4286    ,0.1667    
18             ,617482         ,78             ,34             ,0              ,0              ,2.2941    ,0.1786    
19             ,617462         ,95             ,37             ,0              ,0              ,2.5676    ,0.1818    
20             ,617445         ,109            ,40             ,0              ,0              ,2.7250    ,0.1745    
21             ,617430         ,121            ,43             ,0              ,0              ,2.8140    ,0.1768    
22             ,617414         ,130            ,50             ,0              ,0              ,2.6000    ,0.1778    
23             ,617396         ,142            ,56             ,0              ,0              ,2.5357    ,0.1919    
24             ,617370         ,165            ,59             ,0              ,0              ,2.7966    ,0.1964    
25             ,617351         ,180            ,63             ,0              ,0              ,2.8571    ,0.2058    
26             ,617322         ,205            ,67             ,0              ,0              ,3.0597    ,0.2022    
27             ,617303         ,220            ,71             ,0              ,0              ,3.0986    ,0.1890    
28             ,617281         ,238            ,75             ,0              ,0              ,3.1733    ,0.1853    
29             ,617252         ,263            ,79             ,0              ,0              ,3.3291    ,0.1871    
30             ,617209         ,298            ,87             ,0              ,0              ,3.4253    ,0.1766    
31             ,617176         ,322            ,96             ,0              ,0              ,3.3542    ,0.1746    
32             ,617136         ,346            ,112            ,0              ,0              ,3.0893    ,0.1659    
33             ,617082         ,380            ,132            ,0              ,0              ,2.8788    ,0.1719    
34             ,617026         ,419            ,149            ,0              ,0              ,2.8121    ,0.1743    
35             ,616964         ,466            ,150            ,14             ,0              ,3.1067    ,0.1786    
36             ,616908         ,506            ,158            ,22             ,0              ,3.2025    ,0.1822    
37             ,616858         ,538            ,170            ,28             ,0              ,3.1647    ,0.1836    
38             ,616791         ,579            ,190            ,34             ,0              ,3.0474    ,0.1873    
39             ,616716         ,635            ,206            ,37             ,0              ,3.0825    ,0.1926    
40             ,616631         ,691            ,232            ,40             ,0              ,2.9784    ,0.1961    
41             ,616541         ,762            ,248            ,43             ,0              ,3.0726    ,0.1970    
42             ,616430         ,851            ,263            ,50             ,0              ,3.2357    ,0.1930    
43             ,616323         ,929            ,286            ,55             ,1              ,3.2483    ,0.2008    
44             ,616217         ,992            ,326            ,57             ,2              ,3.0429    ,0.2018    
45             ,616096         ,1080           ,355            ,61             ,2              ,3.0423    ,0.1979    
46             ,615975         ,1161           ,391            ,65             ,2              ,2.9693    ,0.2101    
47             ,615801         ,1281           ,441            ,69             ,2              ,2.9048    ,0.2073    
48             ,615621         ,1405           ,493            ,73             ,2              ,2.8499    ,0.2092    
49             ,615403         ,1561           ,551            ,77             ,2              ,2.8330    ,0.2098    
50             ,615190         ,1718           ,599            ,85             ,2              ,2.8681    ,0.2098    
51             ,614965         ,1893           ,640            ,94             ,2              ,2.9578    ,0.2073    
52             ,614714         ,2077           ,691            ,110            ,2              ,3.0058    ,0.2074    
53             ,614444         ,2272           ,746            ,130            ,2              ,3.0456    ,0.2064    
54             ,614162         ,2469           ,814            ,147            ,2              ,3.0332    ,0.2080    
55             ,613868         ,2673           ,889            ,162            ,2              ,3.0067    ,0.2086    
56             ,613529         ,2901           ,984            ,178            ,2              ,2.9482    ,0.2069    
57             ,613175         ,3148           ,1073           ,196            ,2              ,2.9338    ,0.2073    
58             ,612748         ,3469           ,1153           ,222            ,2              ,3.0087    ,0.2088    
59             ,612320         ,3776           ,1255           ,241            ,2              ,3.0088    ,0.2083    
60             ,611855         ,4120           ,1347           ,270            ,2              ,3.0586    ,0.2098    
61             ,611389         ,4412           ,1502           ,289            ,2              ,2.9374    ,0.2092    
62             ,610829         ,4792           ,1660           ,310            ,3              ,2.8867    ,0.2125    
63             ,610252         ,5151           ,1849           ,338            ,4              ,2.7858    ,0.2124    
64             ,609554         ,5636           ,2019           ,381            ,4              ,2.7915    ,0.2171    
65             ,608823         ,6142           ,2211           ,412            ,6              ,2.7779    ,0.2208    
66             ,608072         ,6642           ,2422           ,452            ,6              ,2.7424    ,0.2207    
