class edu.neu.info6205.model.Virus
name,Covid-19
R,0.0
superSpreaderRate,0.01
infectiousRadius,200.0
infectiousRate,0.4
recoveryRate,0.99
incidenceRate,0.8
latentPeriod,14.0
infectiousPeriod,20.0
class edu.neu.info6205.model.Residence
name,Boston
virus,edu.neu.info6205.model.Virus@29453f44
population,617594
density,5381.0
radius,10713.220361013016
residents,[Ledu.neu.info6205.model.Person;@5cad8086
susceptible,617584
exposed,0
infected,10
removed,0
dead,0
drawRadius,400.0
drawX,410.0
drawY,410.0
scale,0.03733704586677399
random,java.util.Random@61bbe9ba
class edu.neu.info6205.model.Measure
name,Boston-Measure
enable,true
barrierRate,0.5
maskUseRate,1.0
maskEffectiveness,0.8
contactTracking,0.3
vaccine,0
vaccineEffectiveness,0.8
virusTesting,0
quarantineRate,0.5
Days           ,Susceptible    ,Exposed        ,Infected       ,Recovered      ,Dead           ,R         ,K         
559            ,431780         ,16627          ,23868          ,143834         ,1485           ,0.6966    ,0.8000    
560            ,430665         ,16513          ,23957          ,144953         ,1506           ,0.6893    ,0.8000    
561            ,429530         ,16434          ,23999          ,146112         ,1519           ,0.6848    ,0.8000    
562            ,428369         ,16385          ,24027          ,147283         ,1530           ,0.6819    ,0.8000    
563            ,427207         ,16339          ,23992          ,148515         ,1541           ,0.6810    ,0.8000    
564            ,426060         ,16299          ,23989          ,149693         ,1553           ,0.6794    ,0.8000    
565            ,424920         ,16195          ,24021          ,150891         ,1567           ,0.6742    ,0.8000    
566            ,423792         ,16182          ,23933          ,152098         ,1589           ,0.6761    ,0.8000    
567            ,422575         ,16230          ,23896          ,153288         ,1605           ,0.6792    ,0.8000    
568            ,421434         ,16200          ,23851          ,154490         ,1619           ,0.6792    ,0.8000    
569            ,420307         ,16118          ,23863          ,155674         ,1632           ,0.6754    ,0.8000    
570            ,419171         ,16094          ,23878          ,156809         ,1642           ,0.6740    ,0.8000    
571            ,418043         ,16048          ,23849          ,158003         ,1651           ,0.6729    ,0.8000    
572            ,416930         ,16015          ,23804          ,159174         ,1671           ,0.6728    ,0.8000    
573            ,415794         ,15986          ,23735          ,160392         ,1687           ,0.6735    ,0.8000    
574            ,414714         ,15951          ,23671          ,161554         ,1704           ,0.6739    ,0.8000    
575            ,413577         ,15953          ,23646          ,162706         ,1712           ,0.6747    ,0.8000    
576            ,412479         ,15890          ,23600          ,163899         ,1726           ,0.6733    ,0.8000    
577            ,411447         ,15760          ,23546          ,165100         ,1741           ,0.6693    ,0.8000    
578            ,410317         ,15743          ,23525          ,166259         ,1750           ,0.6692    ,0.8000    
579            ,409248         ,15672          ,23487          ,167428         ,1759           ,0.6673    ,0.8000    
580            ,408126         ,15666          ,23386          ,168643         ,1773           ,0.6699    ,0.8000    
581            ,407014         ,15561          ,23389          ,169846         ,1784           ,0.6653    ,0.8000    
582            ,405934         ,15500          ,23320          ,171044         ,1796           ,0.6647    ,0.8000    
583            ,404828         ,15479          ,23239          ,172242         ,1806           ,0.6661    ,0.8000    
584            ,403758         ,15413          ,23188          ,173417         ,1818           ,0.6647    ,0.8000    
585            ,402711         ,15332          ,23072          ,174649         ,1830           ,0.6645    ,0.8000    
586            ,401640         ,15290          ,23044          ,175775         ,1845           ,0.6635    ,0.8000    
587            ,400600         ,15194          ,23011          ,176934         ,1855           ,0.6603    ,0.8000    
588            ,399555         ,15159          ,22920          ,178096         ,1864           ,0.6614    ,0.8000    
589            ,398552         ,15025          ,22848          ,179295         ,1874           ,0.6576    ,0.8000    
590            ,397501         ,14978          ,22786          ,180446         ,1883           ,0.6573    ,0.8000    
591            ,396514         ,14933          ,22644          ,181608         ,1895           ,0.6595    ,0.8000    
592            ,395526         ,14791          ,22628          ,182745         ,1904           ,0.6537    ,0.8000    
593            ,394511         ,14737          ,22532          ,183905         ,1909           ,0.6540    ,0.8000    
594            ,393556         ,14570          ,22539          ,185003         ,1926           ,0.6464    ,0.8000    
595            ,392526         ,14488          ,22516          ,186130         ,1934           ,0.6435    ,0.8000    
596            ,391531         ,14403          ,22435          ,187279         ,1946           ,0.6420    ,0.8000    
597            ,390509         ,14319          ,22379          ,188433         ,1954           ,0.6398    ,0.8000    
598            ,389526         ,14232          ,22302          ,189570         ,1964           ,0.6381    ,0.8000    
599            ,388597         ,14114          ,22209          ,190701         ,1973           ,0.6355    ,0.8000    
600            ,387583         ,14057          ,22152          ,191811         ,1991           ,0.6346    ,0.8000    
601            ,386545         ,14055          ,21975          ,193013         ,2006           ,0.6396    ,0.8000    
602            ,385611         ,13944          ,21879          ,194136         ,2024           ,0.6373    ,0.8000    
603            ,384629         ,13923          ,21755          ,195254         ,2033           ,0.6400    ,0.8000    
604            ,383655         ,13846          ,21670          ,196378         ,2045           ,0.6389    ,0.8000    
605            ,382786         ,13728          ,21529          ,197491         ,2060           ,0.6377    ,0.8000    
606            ,381865         ,13661          ,21404          ,198594         ,2070           ,0.6382    ,0.8000    
607            ,380906         ,13605          ,21283          ,199719         ,2081           ,0.6392    ,0.8000    
608            ,379978         ,13578          ,21158          ,200789         ,2091           ,0.6417    ,0.8000    
609            ,379057         ,13469          ,21051          ,201917         ,2100           ,0.6398    ,0.8000    
610            ,378125         ,13406          ,20948          ,203003         ,2112           ,0.6400    ,0.8000    
611            ,377244         ,13265          ,20938          ,204017         ,2130           ,0.6335    ,0.8000    
612            ,376378         ,13148          ,20791          ,205135         ,2142           ,0.6324    ,0.8000    
613            ,375443         ,13154          ,20651          ,206191         ,2155           ,0.6370    ,0.8000    
614            ,374591         ,12992          ,20543          ,207303         ,2165           ,0.6324    ,0.8000    
615            ,373689         ,12856          ,20469          ,208411         ,2169           ,0.6281    ,0.8000    
616            ,372858         ,12753          ,20323          ,209479         ,2181           ,0.6275    ,0.8000    
617            ,372047         ,12582          ,20199          ,210573         ,2193           ,0.6229    ,0.8000    
618            ,371168         ,12487          ,20103          ,211638         ,2198           ,0.6212    ,0.8000    
619            ,370333         ,12453          ,19925          ,212679         ,2204           ,0.6250    ,0.8000    
620            ,369435         ,12430          ,19775          ,213737         ,2217           ,0.6286    ,0.8000    
621            ,368583         ,12323          ,19694          ,214765         ,2229           ,0.6257    ,0.8000    
622            ,367756         ,12222          ,19577          ,215797         ,2242           ,0.6243    ,0.8000    
623            ,366973         ,12084          ,19495          ,216789         ,2253           ,0.6199    ,0.8000    
624            ,366195         ,11930          ,19376          ,217829         ,2264           ,0.6157    ,0.8000    
625            ,365404         ,11840          ,19270          ,218805         ,2275           ,0.6144    ,0.8000    
626            ,364623         ,11755          ,19148          ,219783         ,2285           ,0.6139    ,0.8000    
627            ,363848         ,11595          ,19068          ,220787         ,2296           ,0.6081    ,0.8000    
628            ,363066         ,11525          ,18965          ,221733         ,2305           ,0.6077    ,0.8000    
629            ,362244         ,11445          ,18837          ,222753         ,2315           ,0.6076    ,0.8000    
630            ,361533         ,11325          ,18673          ,223744         ,2319           ,0.6065    ,0.8000    
631            ,360788         ,11259          ,18462          ,224759         ,2326           ,0.6098    ,0.8000    
632            ,360023         ,11145          ,18358          ,225735         ,2333           ,0.6071    ,0.8000    
633            ,359328         ,11005          ,18264          ,226655         ,2342           ,0.6026    ,0.8000    
634            ,358575         ,10860          ,18148          ,227655         ,2356           ,0.5984    ,0.8000    
635            ,357778         ,10805          ,17962          ,228682         ,2367           ,0.6015    ,0.8000    
636            ,357014         ,10742          ,17855          ,229603         ,2380           ,0.6016    ,0.8000    
637            ,356324         ,10649          ,17656          ,230579         ,2386           ,0.6031    ,0.8000    
638            ,355606         ,10589          ,17460          ,231544         ,2395           ,0.6065    ,0.8000    
639            ,354861         ,10543          ,17382          ,232405         ,2403           ,0.6065    ,0.8000    
640            ,354158         ,10465          ,17242          ,233317         ,2412           ,0.6069    ,0.8000    
641            ,353473         ,10375          ,17058          ,234270         ,2418           ,0.6082    ,0.8000    
642            ,352774         ,10292          ,16912          ,235188         ,2428           ,0.6086    ,0.8000    
